epoch,train_loss,train_top1_accuracy,train_legal_action_accuracy,val_loss,val_top1_accuracy,val_legal_action_accuracy
1,3.578392744064331,0.15011764705882352,1.0,3.1504800796508787,0.16353383458646617,1.0
2,3.0245879257426544,0.18964705882352942,1.0,2.7753336429595947,0.19360902255639098,1.0
3,2.632557476268095,0.35623529411764704,1.0,2.423906087875366,0.3383458646616541,1.0
4,2.231692173901726,0.45788235294117646,1.0,2.1145323514938354,0.424812030075188,1.0
5,1.850545981351067,0.5167058823529411,1.0,1.872815227508545,0.48120300751879697,1.0
6,1.577286720275879,0.5952941176470589,1.0,1.7067513942718506,0.518796992481203,1.0
7,1.3702952581293442,0.6456470588235295,1.0,1.6182758331298828,0.5394736842105263,1.0
8,1.2137616767602808,0.6823529411764706,1.0,1.5382569313049317,0.5958646616541353,1.0
9,1.0916496795766495,0.7195294117647059,1.0,1.5005740642547607,0.618421052631579,1.0
10,0.9835734367370605,0.7656470588235295,1.0,1.461552333831787,0.6447368421052632,1.0
